// Documento Base para Crear Villas de Casas

// Warp Principal *********************************************************************************
rent_ma,49,96,0	warp	rentam1		1,1,pay_arche,148,83
pay_arche,152,87,0	warp	rentam2		1,1,rent_ma,49,92

// Anuncio en la Entrada y Disponibilidad de Casas ************************************************
rent_ma,55,20,1	duplicate(BRent_Propietario)	Propietario#a	833
rentina8,24,14,3	duplicate(BRent_Alice)	Alice#a8	1275
rentina9,24,14,3	duplicate(BRent_Alice)	Alice#a9	1275
rentina10,24,14,3	duplicate(BRent_Alice)	Alice#a10	1275
rentina11,24,14,3	duplicate(BRent_Alice)	Alice#a11	1275
rentina12,24,14,3	duplicate(BRent_Alice)	Alice#a12	1275
rentina13,24,14,3	duplicate(BRent_Alice)	Alice#a13	1275
rentina14,24,14,3	duplicate(BRent_Alice)	Alice#a14	1275
rentina15,24,14,3	duplicate(BRent_Alice)	Alice#a15	1275
rentina16,24,14,3	duplicate(BRent_Alice)	Alice#a16	1275
rentina17,24,14,3	duplicate(BRent_Alice)	Alice#a17	1275
rentina18,24,14,3	duplicate(BRent_Alice)	Alice#a18	1275
rentina19,24,14,3	duplicate(BRent_Alice)	Alice#a19	1275
rentina20,24,14,3	duplicate(BRent_Alice)	Alice#a20	1275
rentina21,24,14,3	duplicate(BRent_Alice)	Alice#a21	1275
rentina22,24,14,3	duplicate(BRent_Alice)	Alice#a22	1275

// Cambios de Ropa ********************************************************************************

rentina1,30,18,0	duplicate(BRent_Closet)	Closet#a1	111
rentina2,30,18,0	duplicate(BRent_Closet)	Closet#a2	111
rentina3,30,18,0	duplicate(BRent_Closet)	Closet#a3	111
rentina4,30,18,0	duplicate(BRent_Closet)	Closet#a4	111
rentina5,30,18,0	duplicate(BRent_Closet)	Closet#a5	111
rentina6,30,18,0	duplicate(BRent_Closet)	Closet#a6	111
rentina7,30,18,0	duplicate(BRent_Closet)	Closet#a7	111
rentina8,30,18,0	duplicate(BRent_Closet)	Closet#a8	111
rentina9,30,18,0	duplicate(BRent_Closet)	Closet#a9	111
rentina10,30,18,0	duplicate(BRent_Closet)	Closet#a10	111
rentina11,30,18,0	duplicate(BRent_Closet)	Closet#a11	111
rentina12,30,18,0	duplicate(BRent_Closet)	Closet#a12	111
rentina13,30,18,0	duplicate(BRent_Closet)	Closet#a13	111
rentina14,30,18,0	duplicate(BRent_Closet)	Closet#a14	111
rentina15,30,18,0	duplicate(BRent_Closet)	Closet#a15	111
rentina16,30,18,0	duplicate(BRent_Closet)	Closet#a16	111
rentina17,30,18,0	duplicate(BRent_Closet)	Closet#a17	111
rentina18,30,18,0	duplicate(BRent_Closet)	Closet#a18	111
rentina19,30,18,0	duplicate(BRent_Closet)	Closet#a19	111
rentina20,30,18,0	duplicate(BRent_Closet)	Closet#a20	111
rentina21,30,18,0	duplicate(BRent_Closet)	Closet#a21	111
rentina22,30,18,0	duplicate(BRent_Closet)	Closet#a22	111


