//===== eAthena Script ======================================= 
//= Morroc Village - Housing for Rent
//===== By: ================================================== 
//= Zephyrus
//===== Current Version: ===================================== 
//= 1.0 10399
//===== Compatible With: ===================================== 
//= eAthena SVN Stable 
//===== Description: ========================================= 
//= Script que contiene el código para los mapas rent_mc.
//= rentc1 y rentinc1 correspondientes a Morroc.
//===== Additional Comments: ================================= 
//= 1.0 Versión Inicial
//============================================================ 

//============================================================ 
//= Warp de Acceso Principal
//============================================================ 

rent_mc,49,96,0	warp	rentcm1		1,1,moc_fild07,369,370
moc_fild07,373,374,0	warp	rentcm2		1,1,rent_mc,49,92

//============================================================ 
//= Propietario, Letreros y Kafra
//============================================================ 

rent_mc,55,20,1	duplicate(BRent_Propietario)	Propietario#c	833
rentinc22,33,24,0	duplicate(BRent_Storage)	Armario#cx22	111

rentinc1,7,24,0	duplicate(BRent_Storage)	Armario#cy1	111
rentinc2,7,24,0	duplicate(BRent_Storage)	Armario#cy2	111
rentinc3,7,24,0	duplicate(BRent_Storage)	Armario#cy3	111
rentinc4,7,24,0	duplicate(BRent_Storage)	Armario#cy4	111
rentinc5,7,24,0	duplicate(BRent_Storage)	Armario#cy5	111
rentinc6,7,24,0	duplicate(BRent_Storage)	Armario#cy6	111
rentinc7,7,24,0	duplicate(BRent_Storage)	Armario#cy7	111
rentinc8,7,24,0	duplicate(BRent_Storage)	Armario#cy8	111
rentinc9,7,24,0	duplicate(BRent_Storage)	Armario#cy9	111
rentinc10,7,24,0	duplicate(BRent_Storage)	Armario#cy10	111
rentinc11,7,24,0	duplicate(BRent_Storage)	Armario#cy11	111
rentinc12,7,24,0	duplicate(BRent_Storage)	Armario#cy12	111
rentinc13,7,24,0	duplicate(BRent_Storage)	Armario#cy13	111
rentinc14,7,24,0	duplicate(BRent_Storage)	Armario#cy14	111
rentinc15,7,24,0	duplicate(BRent_Storage)	Armario#cy15	111
rentinc16,7,24,0	duplicate(BRent_Storage)	Armario#cy16	111
rentinc17,7,24,0	duplicate(BRent_Storage)	Armario#cy17	111
rentinc18,7,24,0	duplicate(BRent_Storage)	Armario#cy18	111
rentinc19,7,24,0	duplicate(BRent_Storage)	Armario#cy19	111
rentinc20,7,24,0	duplicate(BRent_Storage)	Armario#cy20	111
rentinc21,7,24,0	duplicate(BRent_Storage)	Armario#cy21	111
rentinc22,7,24,0	duplicate(BRent_Storage)	Armario#cy22	111

//============================================================ 
//= Teléfono Servicio
//============================================================ 

rentinc1,35,14,3	duplicate(BRent_Call)	Servicios#c1	858
rentinc2,35,14,3	duplicate(BRent_Call)	Servicios#c2	858
rentinc3,35,14,3	duplicate(BRent_Call)	Servicios#c3	858
rentinc4,35,14,3	duplicate(BRent_Call)	Servicios#c4	858
rentinc5,35,14,3	duplicate(BRent_Call)	Servicios#c5	858
rentinc6,35,14,3	duplicate(BRent_Call)	Servicios#c6	858
rentinc7,35,14,3	duplicate(BRent_Call)	Servicios#c7	858
rentinc8,35,14,3	duplicate(BRent_Call)	Servicios#c8	858
rentinc9,35,14,3	duplicate(BRent_Call)	Servicios#c9	858
rentinc10,35,14,3	duplicate(BRent_Call)	Servicios#c10	858
rentinc11,35,14,3	duplicate(BRent_Call)	Servicios#c11	858
rentinc12,35,14,3	duplicate(BRent_Call)	Servicios#c12	858
rentinc13,35,14,3	duplicate(BRent_Call)	Servicios#c13	858
rentinc14,35,14,3	duplicate(BRent_Call)	Servicios#c14	858
rentinc15,35,14,3	duplicate(BRent_Call)	Servicios#c15	858
rentinc16,35,14,3	duplicate(BRent_Call)	Servicios#c16	858
rentinc17,35,14,3	duplicate(BRent_Call)	Servicios#c17	858
rentinc18,35,14,3	duplicate(BRent_Call)	Servicios#c18	858
rentinc19,35,14,3	duplicate(BRent_Call)	Servicios#c19	858
rentinc20,35,14,3	duplicate(BRent_Call)	Servicios#c20	858
rentinc21,35,14,3	duplicate(BRent_Call)	Servicios#c21	858
rentinc22,35,14,3	duplicate(BRent_Call)	Servicios#c22	858

//============================================================ 
//= Alice Limpieza
//============================================================ 

rentinc1,20,21,3	duplicate(BRent_Alice)	Alice#c1	1275
rentinc2,20,21,3	duplicate(BRent_Alice)	Alice#c2	1275
rentinc3,20,21,3	duplicate(BRent_Alice)	Alice#c3	1275
rentinc4,20,21,3	duplicate(BRent_Alice)	Alice#c4	1275
rentinc5,20,21,3	duplicate(BRent_Alice)	Alice#c5	1275
rentinc6,20,21,3	duplicate(BRent_Alice)	Alice#c6	1275
rentinc7,20,21,3	duplicate(BRent_Alice)	Alice#c7	1275
rentinc8,20,21,3	duplicate(BRent_Alice)	Alice#c8	1275
rentinc9,20,21,3	duplicate(BRent_Alice)	Alice#c9	1275
rentinc10,20,21,3	duplicate(BRent_Alice)	Alice#c10	1275
rentinc11,20,21,3	duplicate(BRent_Alice)	Alice#c11	1275
rentinc12,20,21,3	duplicate(BRent_Alice)	Alice#c12	1275
rentinc13,20,21,3	duplicate(BRent_Alice)	Alice#c13	1275
rentinc14,20,21,3	duplicate(BRent_Alice)	Alice#c14	1275
rentinc15,20,21,3	duplicate(BRent_Alice)	Alice#c15	1275
rentinc16,20,21,3	duplicate(BRent_Alice)	Alice#c16	1275
rentinc17,20,21,3	duplicate(BRent_Alice)	Alice#c17	1275
rentinc18,20,21,3	duplicate(BRent_Alice)	Alice#c18	1275
rentinc19,20,21,3	duplicate(BRent_Alice)	Alice#c19	1275
rentinc20,20,21,3	duplicate(BRent_Alice)	Alice#c20	1275
rentinc21,20,21,3	duplicate(BRent_Alice)	Alice#c21	1275
rentinc22,20,21,3	duplicate(BRent_Alice)	Alice#c22	1275

//============================================================ 
//= Cambio de Ropa
//============================================================ 

rentinc1,30,34,0	duplicate(BRent_Closet)	Closet#cx1	111
rentinc2,30,34,0	duplicate(BRent_Closet)	Closet#cx2	111
rentinc3,30,34,0	duplicate(BRent_Closet)	Closet#cx3	111
rentinc4,30,34,0	duplicate(BRent_Closet)	Closet#cx4	111
rentinc5,30,34,0	duplicate(BRent_Closet)	Closet#cx5	111
rentinc6,30,34,0	duplicate(BRent_Closet)	Closet#cx6	111
rentinc7,30,34,0	duplicate(BRent_Closet)	Closet#cx7	111
rentinc8,30,34,0	duplicate(BRent_Closet)	Closet#cx8	111
rentinc9,30,34,0	duplicate(BRent_Closet)	Closet#cx9	111
rentinc10,30,34,0	duplicate(BRent_Closet)	Closet#cx10	111
rentinc11,30,34,0	duplicate(BRent_Closet)	Closet#cx11	111
rentinc12,30,34,0	duplicate(BRent_Closet)	Closet#cx12	111
rentinc13,30,34,0	duplicate(BRent_Closet)	Closet#cx13	111
rentinc14,30,34,0	duplicate(BRent_Closet)	Closet#cx14	111
rentinc15,30,34,0	duplicate(BRent_Closet)	Closet#cx15	111
rentinc16,30,34,0	duplicate(BRent_Closet)	Closet#cx16	111
rentinc17,30,34,0	duplicate(BRent_Closet)	Closet#cx17	111
rentinc18,30,34,0	duplicate(BRent_Closet)	Closet#cx18	111
rentinc19,30,34,0	duplicate(BRent_Closet)	Closet#cx19	111
rentinc20,30,34,0	duplicate(BRent_Closet)	Closet#cx20	111
rentinc21,30,34,0	duplicate(BRent_Closet)	Closet#cx21	111
rentinc22,30,34,0	duplicate(BRent_Closet)	Closet#cx22	111

rentinc1,5,29,0	duplicate(BRent_Closet)	Closet#cy1	111
rentinc2,5,29,0	duplicate(BRent_Closet)	Closet#cy2	111
rentinc3,5,29,0	duplicate(BRent_Closet)	Closet#cy3	111
rentinc4,5,29,0	duplicate(BRent_Closet)	Closet#cy4	111
rentinc5,5,29,0	duplicate(BRent_Closet)	Closet#cy5	111
rentinc6,5,29,0	duplicate(BRent_Closet)	Closet#cy6	111
rentinc7,5,29,0	duplicate(BRent_Closet)	Closet#cy7	111
rentinc8,5,29,0	duplicate(BRent_Closet)	Closet#cy8	111
rentinc9,5,29,0	duplicate(BRent_Closet)	Closet#cy9	111
rentinc10,5,29,0	duplicate(BRent_Closet)	Closet#cy10	111
rentinc11,5,29,0	duplicate(BRent_Closet)	Closet#cy11	111
rentinc12,5,29,0	duplicate(BRent_Closet)	Closet#cy12	111
rentinc13,5,29,0	duplicate(BRent_Closet)	Closet#cy13	111
rentinc14,5,29,0	duplicate(BRent_Closet)	Closet#cy14	111
rentinc15,5,29,0	duplicate(BRent_Closet)	Closet#cy15	111
rentinc16,5,29,0	duplicate(BRent_Closet)	Closet#cy16	111
rentinc17,5,29,0	duplicate(BRent_Closet)	Closet#cy17	111
rentinc18,5,29,0	duplicate(BRent_Closet)	Closet#cy18	111
rentinc19,5,29,0	duplicate(BRent_Closet)	Closet#cy19	111
rentinc20,5,29,0	duplicate(BRent_Closet)	Closet#cy20	111
rentinc21,5,29,0	duplicate(BRent_Closet)	Closet#cy21	111
rentinc22,5,29,0	duplicate(BRent_Closet)	Closet#cy22	111
